Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
539957,MGL,A,1080.00,1098.25,1074.45,1088.60,16002,173.00,1147
513683,NLCINDIA,A,250.65,253.25,244.00,249.10,69802,173.00,1835
532488,DIVISLAB,A,6005.80,6096.10,5970.75,6037.80,2854,172.00,415
532720,M&MFIN,A,340.05,358.70,340.05,349.00,47341,167.00,1049
544403,ABLBL,B,111.45,114.10,110.10,114.10,148652,165.00,1586
533282,GRAVITA,A,1541.45,1559.60,1504.45,1530.00,10834,165.00,872
500253,LICHSGFIN,A,522.60,525.20,515.00,519.95,31461,164.00,1374
505714,GABRIEL,A,893.80,895.00,870.10,895.00,18599,164.00,1018
500144,FINCABLES,A,716.85,725.35,704.50,715.00,22770,162.00,2794
543220,MAXHEALTH,A,987.60,1005.25,977.65,993.20,16166,160.00,1403
532827,PAGEIND,A,32830.10,33329.00,32650.00,33275.00,474,156.00,322
522275,GVTD,A,2566.95,2594.35,2525.00,2548.75,6060,155.00,702
513375,CARBORUNIV,A,775.90,817.00,775.00,806.30,18900,152.00,1268
543768,NSLNISP,A,39.10,40.21,39.01,39.74,382481,151.00,2164
533758,APLAPOLLO,A,1905.85,1919.00,1856.55,1879.00,8037,151.00,1231
500092,CRISIL,A,4749.25,4749.25,4524.40,4560.10,3273,150.00,822
543384,NYKAA,A,240.40,245.00,237.95,241.60,61966,149.00,1181
523457,LINDEINDIA,A,5915.05,5967.05,5825.70,5884.70,2494,147.00,651
509496,CEMPRO,A,621.35,642.35,611.10,637.55,23522,147.00,1454
543300,SONACOMS,A,441.45,447.20,438.00,443.00,33131,146.00,2370
500300,GRASIM,A,2701.85,2744.95,2701.85,2737.00,5335,145.00,1127
503100,PHOENIXLTD,A,1745.60,1769.45,1723.90,1751.75,8164,143.00,1314
500125,EIDPARRY,A,892.55,917.00,892.55,914.95,15574,141.00,1102
543271,JUBLINGREA,A,660.90,672.05,641.05,657.00,21523,141.00,1615
532889,KPRMILL,A,811.60,846.95,804.30,845.90,17003,141.00,960
500425,AMBUJACEM,A,533.15,540.95,531.15,540.95,26192,140.00,1084
505700,ELECON,A,374.00,374.70,361.85,372.35,38151,140.00,1800
532321,ZYDUSLIFE,A,865.55,883.25,865.55,880.25,15985,140.00,2294
543276,CRAFTSMAN,A,7362.60,7475.95,7207.55,7445.10,1903,139.00,531
539524,LALPATHLAB,A,1359.05,1378.40,1345.80,1377.00,10191,138.00,873
522205,PRAJIND,A,286.85,291.45,283.50,290.30,48056,138.00,1613
507815,GILLETTE,A,7920.55,8062.95,7833.75,8035.00,1738,137.00,718
540767,NAM-INDIA,A,849.80,849.85,830.00,842.90,16408,137.00,1262
