Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
531213,MANAPPURAM,A,278.20,281.20,275.00,275.35,138839,385.00,2874
532843,FORTIS,A,1038.70,1055.00,1036.65,1048.05,36765,384.00,1705
532466,OFSS,A,8660.85,8710.00,8580.00,8663.25,4408,381.00,1327
533179,PERSISTENT,A,5889.95,5900.95,5849.00,5875.05,6456,379.00,869
532259,APARINDS,A,8770.00,9050.00,8724.80,8989.50,4191,373.00,1386
544390,ENRIN,B,3169.35,3169.35,3095.00,3129.05,11679,364.00,1744
540777,HDFCLIFE,A,732.65,743.55,732.05,737.15,49362,364.00,2718
509930,SUPREMEIND,A,4000.00,4060.00,3888.00,3945.90,9135,363.00,1157
503806,SRF,A,3128.20,3128.20,3005.00,3041.25,11892,362.00,4794
533519,LTF,A,267.55,269.50,264.50,267.60,135758,361.00,3234
532504,NAVINFLUOR,A,5119.35,5227.15,5041.65,5043.65,7022,360.00,1547
500335,BIRLACORPN,A,1180.25,1192.70,1162.85,1177.90,29885,353.00,3700
500183,HFCL,A,78.29,78.29,76.70,77.21,454653,352.00,2635
532885,CENTRALBK,A,39.07,39.85,38.88,39.53,877299,347.00,2211
532477,UNIONBANK,A,143.50,144.30,141.70,143.50,238667,342.00,1827
539876,CROMPTON,A,296.10,296.20,291.40,292.45,116348,341.00,2568
500300,GRASIM,A,2845.05,2924.00,2845.05,2917.40,11713,339.00,2773
500113,SAIL,A,130.25,130.90,129.05,129.95,254787,331.00,2452
532689,PVRINOX,A,1166.05,1183.65,1162.40,1174.30,26843,315.00,1764
500620,GESHIP,A,1024.10,1056.00,1021.50,1041.00,30125,313.00,1574
523405,JMFINANCIL,A,172.00,174.50,169.20,169.75,182200,312.00,1666
517569,KEI,A,4118.35,4168.95,4070.35,4089.50,7529,309.00,1622
500048,BEML,A,4450.00,4464.20,4412.05,4420.00,6913,307.00,1509
543220,MAXHEALTH,A,1180.00,1186.30,1175.70,1184.50,26054,307.00,1854
532605,JBMA,A,645.45,669.15,645.45,657.85,45695,301.00,1862
541729,HDFCAMC,A,5560.00,5604.00,5557.00,5565.00,5394,301.00,1334
542066,ATGL,A,624.95,624.95,618.45,619.25,48634,301.00,2045
543257,IRFC,A,123.70,124.65,123.30,123.55,242565,300.00,2895
543526,LICI,A,887.00,900.55,885.95,897.30,32985,294.00,2730
500493,BHARATFORG,A,1286.65,1306.95,1283.00,1300.45,22467,291.00,1399
532784,SOBHA,A,1549.35,1597.20,1536.05,1568.45,18301,288.00,1696
503100,PHOENIXLTD,A,1673.75,1713.90,1673.75,1707.80,16840,286.00,3275
532343,TVSMOTOR,A,3610.20,3639.25,3607.80,3634.75,7885,285.00,1763
540611,AUBANK,A,856.95,869.30,855.45,863.00,33150,285.00,1970
532371,TTML,A,54.74,56.90,54.25,55.32,509127,282.00,2698
500877,APOLLOTYRE,A,498.15,511.00,498.15,506.00,55450,280.00,1598
500087,CIPLA,A,1585.00,1592.70,1575.90,1580.00,17715,280.00,1623
500106,IFCI,A,55.36,57.30,55.36,55.95,495379,278.00,2449
533106,OIL,A,420.45,424.70,419.40,423.30,65596,277.00,2689
532929,BRIGADE,A,1003.65,1038.85,999.65,1036.90,26919,276.00,2427
532300,WOCKPHARMA,A,1348.35,1348.35,1293.40,1295.90,21119,276.00,1839
542920,SUMICHEM,A,515.30,538.90,506.10,515.00,52982,275.00,2908
514162,WELSPUNLIV,A,128.25,132.35,126.70,130.00,210111,273.00,1459
532790,TANLA,A,618.70,620.35,608.90,611.90,43795,268.00,1857
500550,SIEMENS,A,3138.15,3175.70,3138.15,3169.60,8431,266.00,1488
543458,AWL,A,262.75,265.90,260.80,265.20,100746,265.00,3443
540691,ABCAPITAL,A,305.90,311.95,305.80,311.35,84338,261.00,1628
532725,SOLARINDS,A,14040.65,14152.70,13956.05,14009.70,1837,258.00,735
533272,JWL,A,321.30,324.15,320.10,323.55,79659,256.00,2203
532805,REDINGTON,A,264.70,265.85,261.10,261.95,96643,254.00,1862
500253,LICHSGFIN,A,580.20,586.15,579.00,583.25,43083,251.00,1534
532296,GLENMARK,A,1818.50,1844.90,1800.00,1811.90,13723,249.00,1823
